iso3,year,energy_per_capita,co2,co2_per_capita,life_expectancy,gdp_per_capita,gini,night_lights,electricity_access_pct,life_exp_female,life_exp_male
WLF,2001,,0.026,1.718,75.6448,,,,,,
WLF,2005,,0.026,1.753,76.1412,,,,,,
WLF,2010,,0.026,1.945,76.8087,,,,,,
WLF,2015,,0.026,2.105,77.4504,,,,,,
WLF,2020,,0.029,2.518,78.1637,,,,,,
WSM,2001,4891.373,0.154,0.84,71.0284,4941.115,,,88.7,74.141,68.277
WSM,2005,5213.728,0.172,0.921,71.4868,5914.8896,,,91.1,74.415,68.848
WSM,2010,6053.947,0.187,0.968,71.4512,6427.3115,,,96.4,74.118,69.0
WSM,2015,6698.424,0.227,1.126,71.0599,6432.36,,1182.5416666666667,98.2,73.231,69.029
WSM,2020,6424.697,0.234,1.106,70.7265,6745.306,,3784.0383333333334,100.0,72.881,68.757
XKX,2001,,,,,,,,,73.788,69.767
XKX,2005,,,,,,,,,75.297,71.564
XKX,2010,,,,,,,,,76.946,72.326
XKX,2015,,,,,,,,,78.306,73.742
XKX,2020,,,,,,,,,76.635,71.865
YEM,2001,3199.462,17.194,0.85,63.2864,,,,50.4,65.098,61.461
YEM,2005,3654.454,21.797,0.956,65.3561,,0.34732336,,54.8,67.234,63.466
YEM,2010,3727.737,25.818,0.965,67.223,,,,60.8,69.143,65.308
YEM,2015,1674.844,14.123,0.453,66.7613,,,343697.6016666666,67.4,69.708,63.985
YEM,2020,918.667,10.757,0.298,66.4354,,,759078.2108333333,73.9,69.805,63.33
ZAF,2001,25049.77,371.602,7.812,57.1607,11401.431,,,70.2,59.491,54.583
ZAF,2005,26254.229,416.205,8.41,53.9142,12877.307,0.64761883,,80.8,55.465,52.088
ZAF,2010,27968.605,467.353,8.928,58.8863,14182.334,0.6338256,,82.8,61.237,56.197
ZAF,2015,24952.904,457.473,8.065,64.0532,14559.475,,2300186.1416666666,85.3,67.027,60.802
ZAF,2020,23110.025,435.298,7.188,65.1502,13266.786,,3523427.6999999997,90.0,67.948,62.174
ZMB,2001,1418.8,1.886,0.183,47.4077,2268.9697,,,20.2,48.105,46.645
ZMB,2005,1537.171,2.243,0.191,51.6147,2564.4756,,,23.3,52.115,51.029
ZMB,2010,1352.331,3.121,0.223,56.896,3266.5076,0.520122,,22.0,58.195,55.479
ZMB,2015,1732.005,5.522,0.337,60.7284,3576.9255,0.5584075,401192.615,31.1,62.83,58.545
ZMB,2020,2019.733,9.991,0.524,63.3607,3391.5955,,912510.9,44.6,65.953,60.731
ZWE,2001,4088.395,12.509,1.045,44.5249,4102.0835,,,34.2,45.127,43.997
ZWE,2005,3325.67,10.698,0.857,46.5701,2642.1724,,,36.1,47.005,46.198
ZWE,2010,2653.343,8.754,0.655,51.9252,2563.4783,,,38.9,52.655,51.197
ZWE,2015,3187.202,12.017,0.835,58.9895,3366.6338,,220600.045,33.7,60.49,57.33
ZWE,2020,2163.075,8.491,0.547,61.53,2987.2683,,485062.1241666667,52.7,63.747,59.091
